State,{,},;,id,num,true,false,(,),real,||,&&,==,!=,<,<=,>,>=,+,-,*,/,!,=,if,else,while,do,break,int,float,boolean,[,],$,program,block,decls,decl,type,stmts,stmt,loc,bool,join,equality,rel,expr,term,unary,factor,basic
0,s1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,r3,r3,,r3,,,,,,,,,,,,,,,,,,,,,r3,,r3,r3,r3,r3,r3,r3,,,,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,r8,r8,,r8,,,,,,,,,,,,,,,,,,,,,r8,,r8,r8,r8,s4,s5,s6,,,,-1,-1,-1,7,8,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10
4,,,,r45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r45,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,,,,r46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r46,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,,,,r47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r47,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,r2,r2,,r2,,,,,,,,,,,,,,,,,,,,,r2,,r2,r2,r2,r2,r2,r2,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,,,,s11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s12,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,s13,s14,,s15,,,,,,,,,,,,,,,,,,,,,s16,,s17,s18,s19,,,,,,,-1,20,-1,-1,-1,-1,21,22,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,,,,r6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r6,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,,,s23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,,,,,s24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,r3,r3,,r3,,,,,,,,,,,,,,,,,,,,,r3,,r3,r3,r3,r3,r3,r3,,,,-1,-1,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,,,,,,,,,,,,,,,,,,,,,,,,r17,,,,,,,,,r17,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,,,,,,,,s26,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,,,,,,,,s27,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,s28,,,s15,,,,,,,,,,,,,,,,,,,,,s29,,s30,s31,s32,,,,,,,-1,33,-1,-1,-1,-1,34,35,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,,,s36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,r15,r15,,r15,,,,,,,,,,,,,,,,,,,,,r15,,r15,r15,r15,,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,r7,r7,,r7,,,,,,,,,,,,,,,,,,,,,r7,,r7,r7,r7,,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,,,,,,,,,,,,,,,,,,,,,,,,s37,,,,,,,,,s38,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,r4,r4,,r4,,,,,,,,,,,,,,,,,,,,,r4,,r4,r4,r4,r4,r4,r4,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s39,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,r8,r8,,r8,,,,,,,,,,,,,,,,,,,,,r8,,r8,r8,r8,s4,s5,s6,,,,-1,-1,-1,7,8,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10
26,,,,s41,s42,s43,s44,s45,,s46,,,,,,,,,,s47,,,s48,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,-1,49,50,51,52,53,54,55,56,57,-1
27,,,,s41,s42,s43,s44,s45,,s46,,,,,,,,,,s47,,,s48,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,-1,49,58,51,52,53,54,55,56,57,-1
28,r3,r3,,r3,,,,,,,,,,,,,,,,,,,,,r3,,r3,r3,r3,r3,r3,r3,,,,-1,-1,59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,,,,,,,,s60,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,,,,,,,,s61,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,s28,,,s15,,,,,,,,,,,,,,,,,,,,,s29,,s30,s31,s32,,,,,,,-1,33,-1,-1,-1,-1,62,35,-1,-1,-1,-1,-1,-1,-1,-1,-1
32,,,s63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
33,,,,,,,,,,,,,,,,,,,,,,,,,,,r15,,,,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
34,,,,,,,,,,,,,,,,,,,,,,,,,,,s64,,,,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
35,,,,,,,,,,,,,,,,,,,,,,,,s65,,,,,,,,,s38,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
36,r14,r14,,r14,,,,,,,,,,,,,,,,,,,,,r14,,r14,r14,r14,,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
37,,,,s66,s67,s68,s69,s70,,s71,,,,,,,,,,s72,,,s73,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,-1,74,75,76,77,78,79,80,81,82,-1
